Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions
HCM,13.7,Fruquintinib and Paclitaxel - (FRUTIGA),Gastric Cancer ,Phase 3,02/07/2024,"Phase 3 data presented at ASCO plenary series noted that the median PFS for patients who received fruquintinib plus paclitaxel was 5.6 months, compared to 2.7 months for those who received paclitaxel",174.0
RGNX,14.57,RGX-202 - (AFFINITY DUCHENNE),Duchenne Muscular Dystrophy (DMD) ,Phase 1/2,02/07/2024,"Phase 1/2 dose 2 levels completed; additionally, the company reported interim safety and efficacy data where the third patient at dose level 1 demonstrates the largest increase in microdystrophin expr",50.0
VRPX,3.81,Probudur,Post-operative pain ,Phase 2,02/07/2024,"Phase 2 initial data reported that two doses of Probudur showed reduction in incision-induced pain behaviors, noted February 7, 2023.",1.0
BCTX,3.94,Bria-IMT - (BRIA-ABC),Advanced breast cancer ,Phase 2,02/07/2024,"Additional Phase 2 data reported a disease control rate of 50%, noted February 7, 2024.",1.0
ALEC,6.4,Latozinemab (AL001) - (INFRONT-3),Frontotemporal Dementia ,Phase 3,02/07/2024,"Breakthrough Therapy Designation granted by the FDA, noted February 7, 2024",101.0
GSK,41.27,Latozinemab (AL001) - (INFRONT-3),Frontotemporal Dementia ,Phase 3,02/07/2024,"Breakthrough Therapy Designation granted by the FDA, noted February 7, 2024",
SAVA,25.4,Simufilam (PTI-125) - (RETHINK-ALZ),Alzheimer’s disease ,Phase 3,02/07/2024,"Phase 3 24-month data reported that treated patients scores declined by an average of 1.04 points on ADAS-Cog11, noted February 7, 2024.",48.0
RGNX,14.57,clemidsogene lanparvovec (RGX-121) - (CAMPSIITE),MPS II (Hunter Syndrome) ,Phase 3,02/07/2024,"Phase 3 topline data reported that trial met primary endpoint, noted February 7, 2024.",50.0
DNLI,16.95,DNL126,MPS IIIA (Sanfilippo syndrome Type A) ,Preclinical,02/07/2024,"Preclinical mouse-model data shared at the WORLDSymposium reported that ETV:SGSH lowered substrate accumulation in the CNS and improved cognitive deficits, noted February 7, 2024.",146.0
DNLI,16.95,Tividenofusp alfa (DNL310) - (COMPASS),Hunter syndrome MPS II ,Phase 1/2,02/07/2024,"Phase 1/2 data at WORLDSymposium showed additional improvement and stabilization in clinical outcomes in MPS II with 104 weeks of tividenofusp alfa (DNL310) treatment in the open-label, single-arm stu",146.0
ALEC,6.25,AL101/GSK4527226 - (PROGRESS-AD),Early Alzheimer's disease (AD) ,Phase 2,02/08/2024,"Phase 2 dosing initiated, noted February 8, 2024.",101.0
GSK,41.08,AL101/GSK4527226 - (PROGRESS-AD),Early Alzheimer's disease (AD) ,Phase 2,02/08/2024,"Phase 2 dosing initiated, noted February 8, 2024.",
ADVM,19.7,"Ixo-vec (ixoberogene soroparvovec, ADVM-022) - (ARTEMIS)",Wet age-related macular degeneration (AMD) ,Phase 2,02/08/2024,"Phase 2 data presented at the Macula Society Annual Meeting on the 2E11 and 6E10 doses demonstrated maintenance of visual and anatomic outcomes, noted February 8, 2024.",20.0
AIM,0.38,Ampligen (AMP-518),Post-COVID conditions ,Phase 2,02/08/2024,ase 2 efficacy results offer preliminary evidence that Ampligen may reduce fatigue in subjects with Post-COVID conditions. Safety results showed Ampligen is generally well tolerated in the treatment o,2.0
BDRX,1.3,MTX110 - (MAGIC-G1),Recurrent Glioblastoma (GBM) ,Phase 1,02/08/2024,"Phase 1 PFS data reported that one patient had a survival rate of 12 months from the start of treatment, while 3 patients remain in the study, noted February 8, 2024.",
AMLX,15.46,AMX0035 - (HELIOS),Wolfram Syndrome ,Phase 2,02/08/2024,"Phase 2 enrollment completed, noted February 8, 2024.",89.0
ATHA,3.17,ATH-1105,Amyotrophic Lateral Sclerosis (ALS) ,Preclinical,02/08/2024,"Preclinical data reported that ATH-1105 treatment results in significant, consistent beneficial effects both in cell culture and in vivo models of ALS, noted February 8, 2024.",3.0
TAK,13.95,Oveporexton (TAK-861-2001),Narcolepsy type 1 (NT1) ,Phase 2b,02/09/2024,"Phase 2b trial met its primary and secondary endpoints, noted February 9, 2024.",
CNTA,9.26,SerpinPC - (PRESent-3),Hemophilia B ,Phase 2a,02/09/2024,"Phase 2a data presented at EAHAD reinforce confidence in SerpinPC's novel mechanism of action as we continue to advance the registrational studies, noted February 9, 2024.",134.0
OKYO,1.71,Urcosimod (OK-101),Neuropathic corneal pain (NCP) ,IND-Enabling,02/09/2024,"IND cleared by the FDA, noted February 9, 2024.",33.0
NRXP,5.12,NRX-101,Bipolar Depression and Suicidal Ideation ,Phase 2/3,02/09/2024,"hase 2b/3 enrollment completed, noted February 9, 2024.",19.0
IRON,68.29,MWTX-003 - (DISC-3405),Polycythemia vera (PV) ,Phase 1,02/09/2024,"Orphan drug designation granted by the FDA on February 9, 2024",34.0
ANTX,5.1,EBO-301,Treatment-Refractory MAC Lung Disease ,Phase 2/3,02/12/2024,"Phase 2/3 enrollment voluntary pause enables time to evaluate study data further and for the independent DSMB to conduct an unblinded assessment and recommend next steps, which could include changes t",27.0
CSLLY,94.17,CSL112 -(AEGIS-II),Acute myocardial infarction (AMI) ,Phase 3,02/12/2024,"Phase 3 study did not meet its primary endpoint, noted February 12, 2024.",968.0
LRMR,7.83,Nomlabofusp (CTI-1601),Friedreich’s ataxia (FA) ,Phase 2,02/12/2024,"Phase 2 study showed that treatment was generally well tolerated following repeated subcutaneous injections in patients in the 25 and 50 mg cohorts with no serious adverse events, noted February 12, 2",85.0
BTAI,1.95,BXCL701 and KEYTRUDA (pembrolizumab),Neuroendocrine Prostate Cancer (NEPC) ,Phase 2a,02/12/2024,"Fast Track designation granted by the FDA on February 12, 2024.",14.0
PYPD,6.84,D-PLEX100 - (SHIELD II),Surgical Site Infection ,Phase 3,02/12/2024,"Phase 3 trial 100th patient enrollment, noted February 12, 2024.",10.0
NUVL,83.55,Neladalkib (NVL-655) - (ALKove-1),ALK non-small cell lung cancer (NSCLC) ,Phase 1/2,02/12/2024,"Phase 1/2 trial initiated, noted February 12, 2024.",72.0
TAK,14.02,EOHILIA (budesonide oral suspension),People 11 years and older with eosinophilic esophagitis (EoE) ,Approved,02/12/2024,"FDA approved on February 12, 2024.",
JAGX,5.36,Mytesi (crofelemer),Moderate-to-severe diarrhea including Vibrio cholerae ,Phase 1,02/12/2024,"Orphan Drug Designation (ODD) submited to the FDA, noted February 12, 2024.",2.0
SGMO,0.81,Civaparvovec (ST-920) - (STAAR),Fabry disease ,Phase 1/2,02/12/2024,"Type-D meeting with the FDA agreed in a that data from a single, adequate, and well-controlled study may form the primary basis of approval of a BLA for isaralgagene civaparvovec, noted February 12, 2",301.0
TNXP,11.84,TNX-102 SL - (OASIS),"Acute stress reaction (ASR), acute stress disorder (ASD), and posttraumatic stress disorder (PTSD) ",Phase 2,02/12/2024,"FDA Cleared IND on February 12, 2024.",8.0
ANIX,4.46,Chimeric endocrine receptor T-cell (CER-T),Ovarian Cancer ,Phase 1,02/12/2024,"Phase 1 2nd cohort dosing initiated, noted February 12, 2024.",32.0
KTRA,0.12,REM-001,Cutaneous Metastatic Breast Cancer (CMBC) ,Phase 3,02/12/2024,"Phase 3 was initiated, noted February 12, 2024.",55.0
FDMT,27.85,4D-310 - (INGLAXA),Fabry Disease ,Phase 1/2,02/12/2024,"Phase 1/2 interim data presented at the WORLDSymposium 2024 demonstrated clinically meaningful cardiac endpoint improvements through 12-24 months in contractility (echocardiography), peak VO2 (cardiop",46.0
PHRRF,0.13,KETARX (ketamine),Surgical pain management ,ANDA Filing,02/12/2024,"ANDA continues to be under review by the FDA and has provided preliminary thoughts on possible deficiencies identified by Quality, noted February 12, 2024.",91.0
BMRN,88.18,Valoctocogene roxaparvovec (BMN 270-303) - (GENEr8-3),Hemophilia A ,Phase 3,02/12/2024,"Phase 3 trial data presented at EAHAD after liver biopsy analysis suggests efficient hepatocyte transduction occurred, noted February 9, 2024.",192.0
KRYS,108.73,KB707 - (KYANITE-1),Solid Tumors ,IND-Enabling,02/13/2024,"The FDA cleared IND and granted fast-track designation on February 13, 2024.",28.0
KALV,14.85,EKTERLY (sebetralstat),Hereditary Angioedema (HAE) ,Phase 3,02/13/2024,"Phase 3 clinical trial met all primary and key secondary endpoints and demonstrated a favorable safety profile, noted February 13, 2024.",50.0
CADL,1.8,CAN-3110,Glioma ,Phase 1,02/13/2024,"Fast track designation granted by the FDA on February 13, 2024.",54.0
LCTX,1.02,AST-OPC1 SCiSTAR - (DOSED),Cervical spinal cord injury ,IND-Enabling,02/13/2024,"INDa cleared by the FDA on February 13, 2024.",228.0
RCKT,28.97,KRESLADI (marnetegragene autotemcel),Leukocyte Adhesion Deficiency-I (LAD-I) ,PDUFA,02/13/2024,"PDUFA date extended by 3 months to June 30, 2024.",107.0
CALC,5.23,Auxora - (KOURAGE),Acute kidney injury (AKI) with associated acute hypoxemic respiratory failure (AHRF) ,IND-Enabling,02/13/2024,"IND cleared by the FDA, noted February 13, 2024.",13.0
ROIV,10.8,RVT-2001,Transfusion-Dependent Anemia in Patients with Lower-Risk MDS ,Phase 1/2,02/13/2024,Phase 1/2 development discontinued after interim data analysis.,682.0
PTIX,0.97,PT00114,Major Depressive Disorder (MDD) / Generalized Anxiety Disorder (GAD) / Post-Traumatic Stress Disorder (PTSD) ,Phase 1/2,02/13/2024,"Phase 1/2 demonstrated safety at a low dose of 125 micrograms in the initial cohort of patients, with zero reported adverse reactions among subjects, noted February 13, 2024.",
PBYI,6.21,Alisertib - (PUMA-ALI-4201) - (ALISCA-Lung1),Small Cell Lung Cancer (SCLC) ,Phase 2,02/13/2024,"Phase 2 was initiated, noted on February 13, 2024.",50.0
OCUL,5.62,AXPAXLI (OTX-TKI) - (SOL-1),Wet Age-related Macular Degeneration (AMD) ,Phase 3,02/13/2024,"Phase 3 first three subjects have been screened and dosed with first aflibercept injection, noted February 13, 2024.",174.0
MACK,7.51,Onivyde (NALIRIFOX),Pancreatic cancer ,Approved,02/13/2024,"FDA Approved on February 13, 2024.",14.0
IPSEY,27.94,Onivyde (NALIRIFOX),Pancreatic cancer ,Approved,02/13/2024,"FDA Approved on February 13, 2024.",328.0
TAK,14.05,Eohilia (formerly TAK-721),Eosinophilic esophagitis ,Approved,02/13/2024,"Approved February 13, 2024.",
OPT,2.92,Sozinibercept (OPT-302) with Aflibercept - (COAST),Age-related macular degeneration (AMD) ,Phase 3,02/14/2024,"Phase 3 patient enrollment completed, noted February 14, 2024.",171.0
KRBP,2.56,Deltacel-01 - (KB-GDT-01),Stage 4 Metastatic Non-Small Cell Lung Cancer ,Phase 1,02/14/2024,"Phase 1 initiated, noted February 14, 2024.",1.0
DTIL,11.99,PBGENE-HBV - (ELIMINATE-B),Chronic Hepatitis B Virus (HBV) ,Preclinical,02/14/2024,"Pre-IND meeting with FDA provided feedback on overall design for the proposed first-in-human clinical study as well as feedback on the toxicology and specificity assessments, noted February 14, 2024.",11.0
GLSI,10.2,GP2 (GLSI-100) - (FLAMINGO-01),HER2 positive breast cancer ,Phase 3,02/14/2024,"DSMB recommended to continue the study as is without modification. No serious adverse events related to GLSI-100 have been reported to date, noted February 14 2024.",13.0
ARVN,49.37,Vepdegestrant (ARV-471) - (TACTIVE-U),Solid Tumors ,Phase 1b,02/14/2024,"Phase 1b umbrella trial combination to be initiated in other arms, noted February 14, 2024.",73.0
AZN,60.73,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic Cancer ,Phase 1/2,02/14/2024,"Phase 1b/2 dosing commenced on February 14, 2024.",
AIM,0.41,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic Cancer ,Phase 1/2,02/14/2024,"Phase 1b/2 dosing commenced on February 14, 2024.",2.0
ATRA,19.26,ATA3219,"B-cell non-Hodgkin's lymphoma (NHL), Lupus Nephritis ",Preclinical,02/14/2024,"IND submitted to the FDA, noted February 14, 2024.",7.0
ANVS,10.37,Buntanetap (ANVS401),Alzheimer’s disease (AD) ,Phase 2/3,02/14/2024,"Phase 2/3 last patient completed, noted February 14, 2024.",19.0
SILO,1.69,SP-26,Fibromyalgia / Chornic pain ,Preclinical,02/14/2024,"The preclinical study demonstrated successful drug delivery, noted February 14, 2024.",9.0
INKT,1,"Botensilimab plus balstilimab, agenT-797",Gastric cancer ,Phase 2,02/14/2024,"Phase 2 trial initiated, noted February 14, 2024.",4.0
AMPE,1.82,OA-201,Osteoarthritis ,Preclinical,02/14/2024,Preclinical efficacy results from recently completed pre-IND enabling studies with OA-201 reported that the efficacy results of these studies do not support an Investigational New Drug (IND) submissio,1.0
MESO,1.93,Revascor (Rexlemestrocel-L) - (DREAM-HF),Heart failure ,Phase 3,02/14/2024,"Orphan drug designation was granted on February 14, 2024.",128.0
RPTX,6.95,RP-1664 - (LIONS),Adult and adolescent with TRIM37-high tumor cells to treat Solid Tumors ,Phase 1,02/15/2024,"Phase 1 dosing initiated, noted February 15, 2024.",42.0
APLT,3.75,govorestat (AT-007) - (INSPIRE),Sorbitol Dehydrogenase Deficiency (SORD Deficiency) ,Phase 3,02/15/2024,"Phase 3 study met the interim primary endpoint, noted February 15, 2024.",144.0
IONS,45.28,TRYNGOLZA (olezarsen),Familial Chylomicronemia Syndrome (FCS) ,Phase 3,02/15/2024,"Orphan Drug Designation granted by the FDA, noted February 15, 2024.",159.0
CRDL,1.48,CardiolRx - (MAvERIC-Pilot),Recurrent Pericarditis ,Phase 2,02/15/2024,"FDA has granted Orphan Drug Designation (ODD), noted February 15, 2024.",83.0
ONCY,1.16,Pelareorep and mFOLFIRINOX with and without atezolizumab - (GOBLET),Colorectal and advanced anal cancers ,Phase 1,02/15/2024,"Phase 1 Stage 1 data showed a near tripling of Objective Response Rate compared to checkpoint inhibitor monotherapy, including a Complete Response, and supports expansion, additionally an enrollment e",100.0
MNKD,3.71,Afrezza (Technosphere Insulin) - (INHALE-1),Pediatric type 1/2 diabetes ,Phase 3,02/15/2024,"Phase 3 enrollment goal reached, noted February 15, 2024.",306.0
AUPH,6.02,Aritinercept (AUR200),BAFF/APRIL (B-Cell Activating Factor) ,Phase 1,02/15/2024,"Phase 1 was discontinued due to resource allocation, noted February 15, 2024.",135.0
AUPH,6.02,AUR300,M2 Macrophage ,IND-Enabling,02/15/2024,"The trial was discontinued due to resource allocation, noted on February 15, 2024.",135.0
ENSC,0.89,PF614-102,Severe pain ,Phase 3,02/15/2024,"Phase 3 additional results from the two-part PF614‑102 study are very significant as we believe they demonstrate a clear dose relationship between PF614 and oxycodone, which is the foundation for the",2.0
FBIO,1.86,Triplex - (COLT),Cytomegalovirus (CMV) ,Phase 1,02/16/2024,Phase 1 data results demonstrated the potential benefit of vaccinating donors with dose to enhance CMV protective immunity and reduce CMV events in recipients of allogeneic hematopoietic cell transpla,29.0
CASI,5.8,FOLOTYN (Pralatrexate Injection) - (PROPEL),Peripheral T-cell lymphoma ,Phase 1,02/16/2024,"Phase 1 dosing initiated in China, noted February 16, 2024.",15.0
RHHBY,31.01,XOLAIR (omalizumab) - (OUtMATCH),Food allergy ,Approved,02/16/2024,"FDA Approved on February 16, 2024.",
IOVA,9.15,AMTAGVI (Lifileucel (LN-144)) - (TILVANCE-301),Refractory metastatic melanoma ,Approved,02/16/2024,"FDA Approved on February 16, 2024.",361.0
AZN,63.3,TAGRISSO (Osimertinib) - (FLAURA2),Non-small cell lung cancer (NSCLC) ,Approved,02/17/2024,"Approved February 17, 2024.",
AZN,64.06,TAGRISSO (osimertinib) - (LAURA),"Unresectable, Stage III epidermal growth factor receptor-mutated (EGFRm) non-small cell lung cancer (NSCLC) ",Phase 3,02/19/2024,"Phase 3 data reported that the trial showed statistically significant and highly clinically meaningful improvement in progression-free survival (PFS), noted February 19, 2024.",
RAPT,6.87,Zelnecirnon (RPT193),Asthma ,Phase 2a,02/20/2024,"Phase 2a trial initiated March 29, 2023. Phase 2a trial placed on clinical hold February 20, 2024.",16.0
RAPT,6.87,Zelnecirnon (RPT193),Atopic dermatitis ,Phase 2a,02/20/2024,"Phase 2b trial initiated May 23, 2022. Phase 2b trial placed on hold February 20, 2024.",16.0
IMRX,6.76,Atebimetinib (IMM-1-104) + mGnP,"Solid tumors, pancreatic cancer, melanoma ",Phase 1,02/20/2024,"Fast Track Designation granted by the FDA on February 20, 2024.",36.0
IRON,66.42,DISC-0974,Patients with non-dialysis dependent chronic kidney disease (NDD-CKD) and anemia ,Phase 1/2,02/20/2024,"Phase 1b/2 ongoing. FDA granted Fast Track designation, noted February 20, 2024.",34.0
SNY,44.97,Duvakitug (TEV-'574/SAR447189) - (RELIEVE UCCD),Moderate-to-severe inflammatory bowel disease (IBD); this includes ulcerative colitis (UC) and Crohn's disease (CD) ,Phase 2b,02/20/2024,"PK data reported rapid and sustained suppression of free TL1A, noted February 20, 2024.",
TEVA,13.07,Duvakitug (TEV-'574/SAR447189) - (RELIEVE UCCD),Moderate-to-severe inflammatory bowel disease (IBD); this includes ulcerative colitis (UC) and Crohn's disease (CD) ,Phase 2b,02/20/2024,"PK data reported rapid and sustained suppression of free TL1A, noted February 20, 2024.",
ARVN,50.6,ARV-102,Parkinson's Disease in Healthy Volunteers ,Phase 1,02/20/2024,"Phase 1 dosing commenced, noted February 20, 2024.",73.0
SPRY,7.52,Neffy (epinephrine nasal spray),Allergic reactions (type I) including anaphylaxis ,Phase 3,02/20/2024,Phase 3 topline data showed that Repeated doses of neffy under nasal allergen challenge demonstrated a pharmacokinetic profile greater than or similar to injection and a pharmacodynamic profile greate,98.0
JNJ,156.58,TECVAYLI (teclistamab),Relapsed or refractory (R/R) multiple myeloma. ,Approved,02/20/2024,"Supplemental approval granted by the FDA, noted February 20, 2024.",
GSK,41.19,Cabenuva (cabotegravir + rilpivirine) - (LATITUDE),HIV ,Phase 3,02/21/2024,"Phase 3 interim data reported that demonstrated superior efficacy in maintaining viral load suppression compared to daily oral therapy in individuals with a history of ART adherence challenges, noted",
KZIA,0.32,Paxalisib (GDC-0084) with radiotherapy,Brain Metastases ,Phase 1,02/21/2024,"Phase 1 trial met its primary endpoint, noted February 21, 2024.",1.0
ENLV,3.22,Allocetra,Sepsis ,Phase 2,02/21/2024,"Phase 2 enrollment completed, noted February 21, 2024.",23.0
NRSN,1.25,PrimeC - (PARADIGM),Amyotrophic Lateral Sclerosis (ALS) ,Phase 2b,02/21/2024,"Additional Phase 2b 6 month data reported a reduction of the risk of ALS disease complications or death by up to 53%, noted February 21, 2024.",23.0
MNPR,1.12,MNPR-101-Zr (uPAR),Solid tumors ,Preclinical,02/22/2024,"Preclinical data to date demonstrated compelling and durable anti-tumor benefits with MNPR-101 conjugated to therapeutic radioisotopes, noted February 22, 2024.",6.0
ELEV,2.7,EO-3021 (SYSA1801) with ramucirumab + dostarlimab,Advanced Unresectable or Metastatic Solid Tumors Likely to Express Claudin 18.2 ,Phase 1,02/22/2024,"Phase 1 first patient dosed in Japan, noted February 22, 2024.",59.0
TARS,31.54,TP-05 - (Carpo),Lyme disease ,Phase 2a,02/22/2024,"Phase 2a data demonstrated a statistically significant benefit in killing ticks compared to placebo, noted February 22, 2024.",42.0
ATXI,10.67,BAER-101,Absence epilepsy ,Preclinical,02/22/2024,"Preclinical data reported full suppression of seizure activity with a minimal effective dose (MED) of 0.3 mg/kg, noted February 22, 2024.",3.0
PHVS,27.78,Deucrictibant (PHVS416) - (CHAPTER-3),Hereditary angioedema - prophylactic use ,Phase 2,02/22/2024,Phase 2 data reported that deucrictibant significantly reduced the monthly attack rate by 84.5% (p=0.0008) in participants dosed at 40 mg/day and 79.3% (p=0.0009) in participants dosed at 20 mg/day co,54.0
ATNM,6.74,Iomab-B - (SIERRA),Acute myeloid leukemia (AML) ,Phase 3,02/22/2024,"Phase 3 data shared at ASTCT reported that a median overall survival of 5.49 months versus 1.66 months, noted February 22, 2023.",31.0
GMDA,0.36,NAM-NK (GDA-201),Follicular and diffuse large B cell lymphomas ,Phase 1/2,02/22/2024,"Phase 1/2 results presented at the Tandem Meetings, Transplantation & Cellular Therapy (TCT) Meetings reported that EAP data for omidubicel are consistent with Phase 3 trial results, noted February 2",154.0
VTYX,5.77,Tamuzimod (VTX002),Ulcerative Colitis (UC) ,Phase 2,02/22/2024,"Phase 2 open-label extension data reported that both both doses of VTX002 achieved nominal statistical significance for all key secondary endpoints, noted February 22, 2024.",71.0
REGN,981.2,Dupixent (dupilumab) - (NOTUS),Chronic obstructive pulmonary disease (COPD) ,PDUFA priority review,02/23/2024,"PDUFA Priority Review date June 27, 2024.",105.0
BDRX,1.49,Tolimidone,Type 2 diabetes ,Preclinical,02/23/2024,"Preclinical data reported inconclusive data, noted February 23, 2024.",
COGT,7.44,Bezuclastinib - (SUMMIT),Non-Advanced Systemic Mastocytosis ,Phase 1b,02/23/2024,"Additional Part 1b data from AAAAI reported that 51% week 12 mean change in Total Symptom Score (TSS), including 70% of patients achieving ≥50% reduction in TSS at week 12, noted February 23, 2024.",139.0
CMND,1.88,CMND-100,Alcohol use disorder (AUD) ,Phase 1/2,02/23/2024,"Phase 1/2a approval to commence dosing, noted February 23, 2024.",5.0
BDRX,1.49,MTX110 - (PNOC015),Diffuse Midline Glioma (DMG) ,Phase 1,02/23/2024,"Phase 1 results reported that the median overall survival (OS) of patients in the study was 16.5 months, noted February 23, 2024.",
TEVA,12.89,SIMLANDI (adalimumab-ryvk) - (Humira biosimilar),Inflammatory diseases ,Approved,02/23/2024,"Approved February 23, 2024.",
ALVO,16.03,SIMLANDI (adalimumab-ryvk) - (Humira biosimilar),Inflammatory diseases ,Approved,02/23/2024,"Approved February 23, 2024.",301.0
CLDX,37.75,Barzolvolimab (CDX-0159),Chronic spontaneous urticaria (CSU) ,Phase 2,02/24/2024,"Phase 2 data presented at AAAAI reported that treatment demonstrated strong improvement in UAS7 independent of omalizumab status at Week 12, noted February 24, 2024.",66.0
KALV,13.69,EKTERLY (sebetralstat),Hereditary Angioedema (HAE) ,Phase 3,02/25/2024,"Phase 3 additional data presented at AAAAI reported that 94% of attacks required only one dose to achieve primary endpoint, noted February 25, 2024.",50.0
GSK,41.99,Blujepa (Gepotidacin) - (EAGLE 2/3),Uncomplicated urinary tract infection (uUTI) ,Phase 3,02/26/2024,"EAGLE-1 trial met its primary endpoint, noted February 26, 2024.",
ALLK,1.46,AK006,Prurigo nodularis ,Preclinical,02/26/2024,"Preclinical data presented at AAAAI showed evidence of MRGPRX2 mast cell activation and activated macrophages on skin lesions, noted February 26, 2024.",90.0
KRYS,157,KB407 - (CORAL-1),Cystic Fibrosis ,Phase 1,02/26/2024,"Phase 1 data reported that no severe or serious adverse events were observed in patients treated in Cohort 1, noted February 26, 2024.",28.0
TNYA,5.69,TN-301,Heart Failure with Preserved Ejection Fraction ,Preclinical,02/26/2024,"Preclinical data reported that treatment achieved comparable or superior efficacy and was shown to have a distinctive multi-modal mechanism of action versus empagliflozin, noted February 26, 2024.",162.0
BGNE,160.26,BRUKINSA (zanubrutinib) + Obinutuzumab - (ROSEWOOD),Follicular Non-Hodgkin Lymphoma ,Approved,02/26/2024,"Approval noted February 26, 2024.",106.0
ONC,—,BRUKINSA (zanubrutinib) + Obinutuzumab - (ROSEWOOD),Follicular Non-Hodgkin Lymphoma ,Approved,02/26/2024,"Approval noted February 26, 2024.",110.0
TCRX,6.79,"TSC-100, TSC-101 - (ALLOHA)",Hematologic malignancies ,Phase 1,02/26/2024,"Phase 1 presented at Tandem Meetings showed that all eight (100%) treatment-arm patients are relapse-free and have achieved and maintained complete donor chimerism following treatment, noted February",56.0
MTNB,0.27,Oral amphotericin b (MAT2203) - (EnACT),Cryptococcal meningitis ,Phase 3,02/26/2024,"Phase 3 update from ongoing Compassionate/Expanded use access of the 19 patients enrolled in the program, 15 have available follow-up and 4 recently initiated or will soon commence treatment with MAT2",5.0
JANX,15.1,PSMA-TRACTr (JANX007) - (ENGAGER-PSMA-01),Metastatic castration-resistant prostate cancer (mCPRC) ,Phase 1,02/26/2024,"Phase 1 updated clinical data at KOL illustrated a potential best-in-class profile: promising efficacy with favorable safety profile in heavily pretreated subjects with late-stage mCRPC, noted Februar",60.0
JANX,15.1,EGFR-TRACTr (JANX008),"Metastatic colorectal cancer (mCRC), squamous cell carcinoma of the head and neck (SCCHN) and non-small cell lung cancer (NSCLC) ",Phase 1,02/26/2024,"Phase 1 data at KOL display differentiated safety and encouraging signs of efficacy in heavily pretreated subjects with different solid tumor types, noted February 26, 2024.",60.0
GILD,71.36,Biktarvy,HIV ,Approved,02/26/2024,"Approved for expanded indication to treat people with HIV (PWH) who have suppressed viral loads with known or suspected M184V/I resistance, noted February 26, 2024.",
NERV,2.8,Roluperidone (MIN-101),Schizophrenia ,CRL,02/27/2024,"CRL issued by the FDA, noted February 27, 2024.",6.0
VKTX,85.05,VK2735 - (VENTURE),Obesity ,Phase 2,02/27/2024,"Phase 2 study met primary and all secondary endpoints, demonstrating reductions in body weight, noted February 27, 2024.",113.0
TARS,39.22,TP-04 - (Galatea),Rosacea ,Phase 2a,02/27/2024,Phase 2a topline data reported statistically significant improvements (p<0.05) in inflammatory lesions and Investigator's Global Assessment (IGA) score compared to vehicle at Week 12 TP-04 was genera,42.0
ACXP,3.13,Ibezapolstat,C. difficile Infection ,Phase 2b,02/27/2024,"Phase 2b FDA confirmed that trial adequate information was submitted for EoP2 meeting, noted February 27, 2024.",1.0
CGON,46.35,cretostimogene - (PIVOT-006) (EAP),Non-Muscle Invasive Bladder Cancer (NMIBC) ,Phase 3,02/27/2024,"Phase 3 dosing initiated, noted February 27, 2024.",76.0
PPBT,0.67,NT219 in combination with cetuximab,Recurrent/metastatic squamous cell carcinoma of the head and neck (R/M SCCHN) ,Phase 1,02/27/2024,"Phase 2 was well tolerated with anti-tumor activity at relevant higher dose levels observed with 29% Objective Response Rate (ORR) and 71% Disease Control Rate (DCR), noted February 27, 2024.",2.0
GANX,4.63,"GT-02287, GT-02329",GBA1 and Idiopathic Parkinson's Disease ,Phase 1,02/27/2024,"Phase 1 dosing initiated, noted February 27, 2024.",35.0
PTN,2.45,PL9643 - (MELODY-1),Dry eye disease (DED) ,Phase 3,02/28/2024,"Phase 3 final results reported met the first co-primary endpoint in the Intent-to-Treat Analysis, however did not meet the co-primary endpoint showing superiority over vehicle, noted February 28, 2024. read less",46.0
IXHL,6.27,PSX-001 (Psilocybin treatment) - (PsiGAD2),Generalized anxiety disorder (GAD) ,Phase 2,02/28/2024,"Phase 2 topline data reported that the trial met its primary endpoint, noted February 28, 2024.",347.0
CMPX,1.74,CTX-8371,Solid Tumors ,Preclinical,02/28/2024,"Preclinical data reported that CTX-8371 demonstrates enhanced anti-tumor activity relative to approved anti-PD-1 blockers and anti-PD-L1 blockers in a series of in vitro and in vivo experimental settings, noted February 28, 2024. read less",138.0
SILO,1.62,SPC-15,Post-traumatic stress disorder (PTSD) ,Preclinical,02/28/2024,"Preclinical data reported rapid absorption of SPC-15 with good exposure over a 24-hour period, suggesting a once-per-day human intranasal dosing regimen would be optimal, noted February 28, 2024.",9.0
HCM,15.21,Amdizalisib (HMPL-689),Follicular Lymphoma and Marginal Zone Lymphoma ,Phase 2,02/28/2024,"Phase 2 topline FL results reported that the trial met its primary endpoint, noted February 28, 2024.",174.0
SNSE,0.84,Solnerstotug (formerly SNS-101) with Libtayo - (VISTA),One microsatellite stable (MSS) endometrial cancer ,Phase 1,02/28/2024,"Phase 1 initial safety data reported that in the monotherapy dose escalation arm, 13/16 patients (81%) experienced at least one treatment-emergent adverse event (TEAE), with the majority of adverse events (AEs) Grade 1 or 2. In the combination dose escalation arm, 10/17 patients (59%) experienced at least one TEAE, with the majority of AEs Grade 1 or 2, noted February 28, 2024. read less",1.0
