Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions,Market_Cap,Volatility,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Return_D1,XBI_Return_D5,Short_Interest_Pct,Year_Beta,Daily_Volum_Traded
IRON,68.29,MWTX-003 - (DISC-3405),Polycythemia vera (PV)Â ,Phase 1,2/9/2024,"Orphan drug designation granted by the FDA on February 9, 2024",34,1648.54983,48.1994,66.73,68.29,65.92,0.023108716,-0.012212741,-0.042568955,-0.043105867,5.46485,0.0461,7.88586
ANTX,5.1,EBO-301,Treatment-Refractory MAC Lung DiseaseÂ ,Phase 2/3,2/12/2024,"Phase 2/3 enrollment voluntary pause enables time to evaluate study data further and for the independent DSMB to conduct an unblinded assessment and recommend next steps, which could include changes t",27,151.68137,207.3869,20,5.1,3.64,-1.366491734,-1.703748592,0.025813627,-0.022912127,0.94252,0.02616,29.07324
CSLLY,94.17,CSL112 -(AEGIS-II),Acute myocardial infarction (AMI)Â ,Phase 3,2/12/2024,"Phase 3 study did not meet its primary endpoint, noted February 12, 2024.",968,140212.9869,0,0,0,0,#DIV/0!,#DIV/0!,0.025813627,-0.022912127,0,0,0
LRMR,7.83,Nomlabofusp (CTI-1601),Friedreichâ€™s ataxia (FA)Â ,Phase 2,2/12/2024,"Phase 2 study showed that treatment was generally well tolerated following repeated subcutaneous injections in patients in the 25 and 50 mg cohorts with no serious adverse events, noted February 12, 2",85,343.78322,83.6802,7.76,7.83,12.78,0.008980176,0.498899115,0.025813627,-0.022912127,0.7737,0.05605,16.92701
BTAI,1.95,BXCL701 and KEYTRUDA (pembrolizumab),Neuroendocrine Prostate Cancer (NEPC)Â ,Phase 2a,2/12/2024,"Fast Track designation granted by the FDA on February 12, 2024.",14,59.24471,149.9362,33.76,31.2,56.16,-0.078858575,0.50892809,0.025813627,-0.022912127,8.08295,0.04641,19.98635
PYPD,6.84,D-PLEX100 - (SHIELD II),Surgical Site InfectionÂ ,Phase 3,2/12/2024,"Phase 3 trial 100th patient enrollment, noted February 12, 2024.",10,32.8132,111.0529,6.92,6.84,6.4,-0.011628038,-0.078117779,0.025813627,-0.022912127,0.10798,0.00008,0.03391
NUVL,83.55,Neladalkib (NVL-655) - (ALKove-1),ALK non-small cell lung cancer (NSCLC)Â ,Phase 1/2,2/12/2024,"Phase 1/2 trial initiated, noted February 12, 2024.",72,5232.74444,59.8129,82.45,83.55,86.21,0.013253206,0.044594131,0.025813627,-0.022912127,10.05736,0.12256,47.13607
TAK,14.02,EOHILIA (budesonide oral suspension),People 11 years and older with eosinophilic esophagitis (EoE)Â ,Approved,2/12/2024,"FDA approved on February 12, 2024.",,6682008.776,19.4686,14.24,14.31,14.62,0.004903688,0.026335548,0.025813627,-0.022912127,0,0,16.30825
JAGX,5.36,Mytesi (crofelemer),Moderate-to-severe diarrhea including Vibrio choleraeÂ ,Phase 1,2/12/2024,"Orphan Drug Designation (ODD) submited to the FDA, noted February 12, 2024.",2,4.53753,126.8627,125.54975,134.09973,117.14977,0.065881682,-0.069248893,0.025813627,-0.022912127,8.1002,0.00026,2.06956
SGMO,0.81,Civaparvovec (ST-920) - (STAAR),Fabry diseaseÂ ,Phase 1/2,2/12/2024,"Type-D meeting with the FDA agreed in a that data from a single, adequate, and well-controlled study may form the primary basis of approval of a BLA for isaralgagene civaparvovec, noted February 12, 2",301,142.76432,123.1802,0.5744,0.805,1.38,0.33751626,0.87651276,0.025813627,-0.022912127,5.62785,0.13686,6.84376
TNXP,11.84,TNX-102 SL - (OASIS),"Acute stress reaction (ASR), acute stress disorder (ASD), and posttraumatic stress disorder (PTSD)Â ",Phase 2,2/12/2024,"FDA Cleared IND on February 12, 2024.",8,21.68733,108.3839,1056,1184,1220.8,0.114410351,0.145018196,0.025813627,-0.022912127,1.08885,0.13187,1.19229
ANIX,4.46,Chimeric endocrine receptor T-cell (CER-T),Ovarian CancerÂ ,Phase 1,2/12/2024,"Phase 1 2nd cohort dosing initiated, noted February 12, 2024.",32,141.43442,62.5941,4.51,4.46,4.05,-0.011148387,-0.107580272,0.025813627,-0.022912127,2.14893,0.08749,0.61229
KTRA,0.12,REM-001,Cutaneous Metastatic Breast Cancer (CMBC)Â ,Phase 3,2/12/2024,"Phase 3 was initiated, noted February 12, 2024.",55,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),#VALUE!,#VALUE!,0.025813627,-0.022912127,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier)
FDMT,27.85,4D-310 - (INGLAXA),Fabry DiseaseÂ ,Phase 1/2,2/12/2024,"Phase 1/2 interim data presented at the WORLDSymposium 2024 demonstrated clinically meaningful cardiac endpoint improvements through 12-24 months in contractility (echocardiography), peak VO2 (cardiop",46,1374.10847,107.0605,28.63,27.85,27.26,-0.027622153,-0.049034693,0.025813627,-0.022912127,7.77293,0.09494,53.76899
PHRRF,0.13,KETARX (ketamine),Surgical pain managementÂ ,ANDA Filing,2/12/2024,"ANDA continues to be under review by the FDA and has provided preliminary thoughts on possible deficiencies identified by Quality, noted February 12, 2024.",91,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),#VALUE!,#VALUE!,0.025813627,-0.022912127,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier)
BMRN,88.18,Valoctocogene roxaparvovec (BMN 270-303) - (GENEr8-3),Hemophilia AÂ ,Phase 3,2/12/2024,"Phase 3 trial data presented at EAHAD after liver biopsy analysis suggests efficient hepatocyte transduction occurred, noted February 9, 2024.",192,16610.30532,29.6906,88.46,88.18,88.77,-0.003170293,0.003498283,0.025813627,-0.022912127,1.68528,0.20091,112.83954
KRYS,108.73,KB707 - (KYANITE-1),Solid TumorsÂ ,IND-Enabling,2/13/2024,"The FDA cleared IND and granted fast-track designation on February 13, 2024.",28,3066.87426,48.201,115.88,108.73,111.64,-0.063687428,-0.037275764,0.021277398,0.007763679,7.19433,0.05328,36.54861
KALV,14.85,EKTERLY (sebetralstat),Hereditary Angioedema (HAE)Â ,Phase 3,2/13/2024,"Phase 3 clinical trial met all primary and key secondary endpoints and demonstrated a favorable safety profile, noted February 13, 2024.",50,513.19683,59.3196,16.04,14.85,13.8,-0.077085737,-0.15041701,0.021277398,0.007763679,7.15732,0.16326,66.19045
CADL,1.8,CAN-3110,GliomaÂ ,Phase 1,2/13/2024,"Fast track designation granted by the FDA on February 13, 2024.",54,52.05566,110.743,1.39,1.8,1.72,0.258482918,0.213020544,0.021277398,0.007763679,0.57462,0.00027,3.47868
LCTX,1.02,AST-OPC1 SCiSTAR - (DOSED),Cervical spinal cord injuryÂ ,IND-Enabling,2/13/2024,"INDa cleared by the FDA on February 13, 2024.",228,192.24778,67.6221,1.08,1.02,1.09,-0.057158414,0.009216655,0.021277398,0.007763679,4.48602,0.02434,0.96536
RCKT,28.97,KRESLADI (marnetegragene autotemcel),Leukocyte Adhesion Deficiency-I (LAD-I)Â ,PDUFA,2/13/2024,"PDUFA date extended by 3 months to June 30, 2024.",107,2611.90319,68.7179,29.99,28.97,28.64,-0.034603181,-0.046059651,0.021277398,0.007763679,9.36909,0.11126,51.99901
CALC,5.23,Auxora - (KOURAGE),Acute kidney injury (AKI) with associated acute hypoxemic respiratory failure (AHRF)Â ,IND-Enabling,2/13/2024,"IND cleared by the FDA, noted February 13, 2024.",13,56.1708,116.7181,5.6977,5.23,4.36,-0.085651307,-0.267590527,0.021277398,0.007763679,0.20184,0.03414,0.11315
ROIV,10.8,RVT-2001,Transfusion-Dependent Anemia in Patients with Lower-Risk MDSÂ ,Phase 1/2,2/13/2024,Phase 1/2 development discontinued after interim data analysis.,682,8703.13687,57.2451,10.87,10.8,11.54,-0.006460567,0.05981256,0.021277398,0.007763679,3.1901,0.09307,66.98586
PTIX,0.97,PT00114,Major Depressive Disorder (MDD) / Generalized Anxiety Disorder (GAD) / Post-Traumatic Stress Disorder (PTSD)Â ,Phase 1/2,2/13/2024,"Phase 1/2 demonstrated safety at a low dose of 125 micrograms in the initial cohort of patients, with zero reported adverse reactions among subjects, noted February 13, 2024.",,0,0,0,0,0,#DIV/0!,#DIV/0!,0.021277398,0.007763679,0,0,0
PBYI,6.21,Alisertib - (PUMA-ALI-4201) - (ALISCA-Lung1),Small Cell Lung Cancer (SCLC)Â ,Phase 2,2/13/2024,"Phase 2 was initiated, noted on February 13, 2024.",50,295.41797,67.3613,6.36,6.21,6.79,-0.023867481,0.065422564,0.021277398,0.007763679,6.74136,0.17585,5.63545
OCUL,5.62,AXPAXLI (OTX-TKI) - (SOL-1),Wet Age-related Macular Degeneration (AMD)Â ,Phase 3,2/13/2024,"Phase 3 first three subjects have been screened and dosed with first aflibercept injection, noted February 13, 2024.",174,619.42868,88.9074,5.88,5.62,7.52,-0.045225098,0.246009376,0.021277398,0.007763679,3.59266,0.04326,7.49006
MACK,7.51,Onivyde (NALIRIFOX),Pancreatic cancerÂ ,Approved,2/13/2024,"FDA Approved on February 13, 2024.",14,214.8143,0,0,0,0,#DIV/0!,#DIV/0!,0.021277398,0.007763679,0,0,0
IPSEY,27.94,Onivyde (NALIRIFOX),Pancreatic cancerÂ ,Approved,2/13/2024,"FDA Approved on February 13, 2024.",328,8509.64581,0,0,0,0,#DIV/0!,#DIV/0!,0.021277398,0.007763679,0,0,0
TAK,14.05,Eohilia (formerly TAK-721),Eosinophilic esophagitisÂ ,Approved,2/13/2024,"Approved February 13, 2024.",,6824780.037,19.4638,14.31,14.34,14.82,0.002094242,0.035019026,0.021277398,0.007763679,0,0,30.03886
OPT,2.92,Sozinibercept (OPT-302) with Aflibercept - (COAST),Age-related macular degeneration (AMD)Â ,Phase 3,2/14/2024,"Phase 3 patient enrollment completed, noted February 14, 2024.",171,377.80092,89.5415,0.57,0.57,0.59,0,0.034486176,-0.05001317,-0.041398925,0,0.00614,0.11814
KRBP,2.56,Deltacel-01 - (KB-GDT-01),Stage 4 Metastatic Non-Small Cell Lung CancerÂ ,Phase 1,2/14/2024,"Phase 1 initiated, noted February 14, 2024.",1,3.2667,0,0,0,0,#DIV/0!,#DIV/0!,-0.05001317,-0.041398925,0,0,0
DTIL,11.99,PBGENE-HBV - (ELIMINATE-B),Chronic Hepatitis B Virus (HBV)Â ,Preclinical,2/14/2024,"Pre-IND meeting with FDA provided feedback on overall design for the proposed first-in-human clinical study as well as feedback on the toxicology and specificity assessments, noted February 14, 2024.",11,48.72683,78.502,11.17201,11.99,12.36,0.070661426,0.101053909,-0.05001317,-0.041398925,1.35445,0.24252,1.64606
GLSI,10.2,GP2 (GLSI-100) - (FLAMINGO-01),HER2 positive breast cancerÂ ,Phase 3,2/14/2024,"DSMB recommended to continue the study as is without modification. No serious adverse events related to GLSI-100 have been reported to date, noted February 14 2024.",13,131.05128,59.4113,8.31,10.2,13.16,0.204928111,0.459722317,-0.05001317,-0.041398925,1.2026,0.12427,3.37672
ARVN,49.37,Vepdegestrant (ARV-471) - (TACTIVE-U),Solid TumorsÂ ,Phase 1b,2/14/2024,"Phase 1b umbrella trial combination to be initiated in other arms, noted February 14, 2024.",73,3357.11098,78.1336,47.77,49.37,47.7,0.032945125,-0.00146643,-0.05001317,-0.041398925,9.55326,0.16656,33.33137
AZN,60.73,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic CancerÂ ,Phase 1/2,2/14/2024,"Phase 1b/2 dosing commenced on February 14, 2024.",,150740.4112,23.3819,96,97.24,101.02,0.012833958,0.050970326,-0.05001317,-0.041398925,0,0.19671,610.15465
AIM,0.41,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic CancerÂ ,Phase 1/2,2/14/2024,"Phase 1b/2 dosing commenced on February 14, 2024.",2,59.512,58.1812,0.29,0.285,0.275,-0.017391743,-0.053109825,-0.05001317,-0.041398925,0,0.00779,0.00133
ATRA,19.26,ATA3219,"B-cell non-Hodgkin's lymphoma (NHL), Lupus NephritisÂ ",Preclinical,2/14/2024,"IND submitted to the FDA, noted February 14, 2024.",7,78.50052,266.2559,19.2525,19.255,19.915,0.000129845,0.033832294,-0.05001317,-0.041398925,7.38733,0.03367,1.13953
ANVS,10.37,Buntanetap (ANVS401),Alzheimerâ€™s disease (AD)Â ,Phase 2/3,2/14/2024,"Phase 2/3 last patient completed, noted February 14, 2024.",19,109.71391,114.2025,10.05,10.37,10.18,0.031344388,0.012852377,-0.05001317,-0.041398925,12.39142,0.01275,1.65627
SILO,1.69,SP-26,Fibromyalgia / Chornic painÂ ,Preclinical,2/14/2024,"The preclinical study demonstrated successful drug delivery, noted February 14, 2024.",9,4.87734,65.9588,1.6,1.69,1.56,0.0547249,-0.025317808,-0.05001317,-0.041398925,3.60416,0.16072,0.54503
INKT,1,"Botensilimab plus balstilimab, agenT-797",Gastric cancerÂ ,Phase 2,2/14/2024,"Phase 2 trial initiated, noted February 14, 2024.",4,34.50573,82.0801,9.277,9.996,9.2001,0.074646794,-0.008323865,-0.05001317,-0.041398925,0.54872,0.09373,0.04808
AMPE,1.82,OA-201,OsteoarthritisÂ ,Preclinical,2/14/2024,Preclinical efficacy results from recently completed pre-IND enabling studies with OA-201 reported that the efficacy results of these studies do not support an Investigational New Drug (IND) submissio,1,1.51428,204.7306,1.72,1.82,1.94,0.05651221,0.120363682,-0.05001317,-0.041398925,6.83997,0.00877,0.02701
MESO,1.93,Revascor (Rexlemestrocel-L) - (DREAM-HF),Heart failureÂ ,Phase 3,2/14/2024,"Orphan drug designation was granted on February 14, 2024.",128,279.06982,65.7659,1.85,1.93,2.03,0.042334364,0.092850154,-0.05001317,-0.041398925,0,0,0.50692
RPTX,6.95,RP-1664 - (LIONS),Adult and adolescent with TRIM37-high tumor cells to treat Solid TumorsÂ ,Phase 1,2/15/2024,"Phase 1 dosing initiated, noted February 15, 2024.",42,292.80107,97.6163,6.81,6.95,6.26,0.020349539,-0.084211935,-0.021814311,-0.032492469,4.08919,0.05897,0.64235
APLT,3.75,govorestat (AT-007) - (INSPIRE),Sorbitol Dehydrogenase Deficiency (SORD Deficiency)Â ,Phase 3,2/15/2024,"Phase 3 study met the interim primary endpoint, noted February 15, 2024.",144,289.60953,143.5374,2.68,3.75,5.6,0.335939045,0.736949803,-0.021814311,-0.032492469,4.80658,0.01459,35.20084
IONS,45.28,TRYNGOLZA (olezarsen),Familial Chylomicronemia Syndrome (FCS)Â ,Phase 3,2/15/2024,"Orphan Drug Designation granted by the FDA, noted February 15, 2024.",159,6496.41755,37.3671,49.07,45.28,43.98,-0.080382416,-0.109512865,-0.021814311,-0.032492469,5.89077,0.27415,131.94692
CRDL,1.48,CardiolRx - (MAvERIC-Pilot),Recurrent PericarditisÂ ,Phase 2,2/15/2024,"FDA has granted Orphan Drug Designation (ODD), noted February 15, 2024.",83,8.97699,38.3426,0.045,0.045,0.0435,0,-0.033901552,-0.021814311,-0.032492469,0,0.00857,0.0021
ONCY,1.16,Pelareorep and mFOLFIRINOX with and without atezolizumab - (GOBLET),Colorectal and advanced anal cancersÂ ,Phase 1,2/15/2024,"Phase 1 Stage 1 data showed a near tripling of Objective Response Rate compared to checkpoint inhibitor monotherapy, including a Complete Response, and supports expansion, additionally an enrollment e",100,86.33179,75.2796,1.15,1.16,1.035,0.008658063,-0.105360516,-0.021814311,-0.032492469,0.89484,0.0395,0.28364
MNKD,3.71,Afrezza (Technosphere Insulin) - (INHALE-1),Pediatric type 1/2 diabetesÂ ,Phase 3,2/15/2024,"Phase 3 enrollment goal reached, noted February 15, 2024.",306,1000.12197,54.6426,3.6,3.71,3.59,0.030098031,-0.002781643,-0.021814311,-0.032492469,12.97873,0.05216,10.62758
AUPH,6.02,Aritinercept (AUR200),BAFF/APRIL (B-Cell Activating Factor)Â ,Phase 1,2/15/2024,"Phase 1 was discontinued due to resource allocation, noted February 15, 2024.",135,870.59893,63.2772,7.97,6.02,6,-0.280597233,-0.283925024,-0.021814311,-0.032492469,12.81281,0.22408,118.14681
AUPH,6.02,AUR300,M2 MacrophageÂ ,IND-Enabling,2/15/2024,"The trial was discontinued due to resource allocation, noted on February 15, 2024.",135,870.59893,63.2772,7.97,6.02,6,-0.280597233,-0.283925024,-0.021814311,-0.032492469,12.81281,0.22408,118.14681
ENSC,0.89,PF614-102,Severe painÂ ,Phase 3,2/15/2024,"Phase 3 additional results from the two-part PF614â€‘102 study are very significant as we believe they demonstrate a clear dose relationship between PF614 and oxycodone, which is the foundation for the",2,6.00555,123.8585,13.49999,13.34999,13.42498,-0.011173309,-0.005571794,-0.021814311,-0.032492469,10.05459,0.00446,0.26267
FBIO,1.86,Triplex - (COLT),Cytomegalovirus (CMV)Â ,Phase 1,2/16/2024,Phase 1 data results demonstrated the potential benefit of vaccinating donors with dose to enhance CMV protective immunity and reduce CMV events in recipients of allogeneic hematopoietic cell transpla,29,34.18076,151.7972,1.88,1.86,1.74,-0.010695289,-0.077386664,0.001287416,-0.015743331,8.12348,0.11164,0.65685
CASI,5.8,FOLOTYN (Pralatrexate Injection) - (PROPEL),Peripheral T-cell lymphomaÂ ,Phase 1,2/16/2024,"Phase 1 dosing initiated in China, noted February 16, 2024.",15,77.26474,105.4952,5.97,5.8,5.55,-0.02888901,-0.072949,0.001287416,-0.015743331,0.39574,0.00237,0.08467
RHHBY,31.01,XOLAIR (omalizumab) - (OUtMATCH),Food allergyÂ ,Approved,2/16/2024,"FDA Approved on February 16, 2024.",,183360.2713,0,0,0,0,#DIV/0!,#DIV/0!,0.001287416,-0.015743331,0,0,0
IOVA,9.15,AMTAGVI (Lifileucel (LN-144)) - (TILVANCE-301),Refractory metastatic melanomaÂ ,Approved,2/16/2024,"FDA Approved on February 16, 2024.",361,2341.6538,94.3039,9.87,9.15,15.77,-0.075745974,0.468609548,0.001287416,-0.015743331,16.3984,0.19051,161.66011
AZN,63.3,TAGRISSO (Osimertinib) - (FLAURA2),Non-small cell lung cancer (NSCLC)Â ,Approved,2/17/2024,"Approved February 17, 2024.",,156476.1118,23.5748,100.94,100.94,102.2,0,0.012405397,0,-0.017030747,0,0.20399,0
AZN,64.06,TAGRISSO (osimertinib) - (LAURA),"Unresectable, Stage III epidermal growth factor receptor-mutated (EGFRm) non-small cell lung cancer (NSCLC)Â ",Phase 3,2/19/2024,"Phase 3 data reported that the trial showed statistically significant and highly clinically meaningful improvement in progression-free survival (PFS), noted February 19, 2024.",,161498.7252,24.008,100.94,104.18,102.54,0.031593891,0.015726685,0.008300592,-0.043998907,0,0.20399,195.99508
RAPT,6.87,Zelnecirnon (RPT193),AsthmaÂ ,Phase 2a,2/20/2024,"Phase 2a trial initiated March 29, 2023. Phase 2a trial placed on clinical hold February 20, 2024.",16,236.30195,199.2314,207.76,54.96,71.92,-1.329777919,-1.060829177,0.007326829,-0.099449359,11.47225,0.22387,96.01507
RAPT,6.87,Zelnecirnon (RPT193),Atopic dermatitisÂ ,Phase 2a,2/20/2024,"Phase 2b trial initiated May 23, 2022. Phase 2b trial placed on hold February 20, 2024.",16,236.30195,199.2314,207.76,54.96,71.92,-1.329777919,-1.060829177,0.007326829,-0.099449359,11.47225,0.22387,96.01507
IMRX,6.76,Atebimetinib (IMM-1-104) + mGnP,"Solid tumors, pancreatic cancer, melanomaÂ ",Phase 1,2/20/2024,"Fast Track Designation granted by the FDA on February 20, 2024.",36,197.85926,97.4551,6.6,6.76,6.43,0.023953241,-0.026095111,0.007326829,-0.099449359,9.13148,0.02696,0.59628
IRON,66.42,DISC-0974,Patients with non-dialysis dependent chronic kidney disease (NDD-CKD) and anemiaÂ ,Phase 1/2,2/20/2024,"Phase 1b/2 ongoing. FDA granted Fast Track designation, noted February 20, 2024.",34,1603.40723,47.9417,65.92,66.42,66.25,0.00755633,0.004993579,0.007326829,-0.099449359,5.46485,0.047,9.20462
SNY,44.97,Duvakitug (TEV-'574/SAR447189) - (RELIEVE UCCD),Moderate-to-severe inflammatory bowel disease (IBD); this includes ulcerative colitis (UC) and Crohn's disease (CD)Â ,Phase 2b,2/20/2024,"PK data reported rapid and sustained suppression of free TL1A, noted February 20, 2024.",,109252.5946,34.6206,46.18,46.85,48.21,0.014404205,0.043019664,0.007326829,-0.099449359,0,0,108.72283
TEVA,13.07,Duvakitug (TEV-'574/SAR447189) - (RELIEVE UCCD),Moderate-to-severe inflammatory bowel disease (IBD); this includes ulcerative colitis (UC) and Crohn's disease (CD)Â ,Phase 2b,2/20/2024,"PK data reported rapid and sustained suppression of free TL1A, noted February 20, 2024.",,14651.37063,35.3922,13.02,13.07,13.3,0.003832891,0.021277398,0.007326829,-0.099449359,1.63397,0.04443,154.43069
ARVN,50.6,ARV-102,Parkinson's Disease in Healthy VolunteersÂ ,Phase 1,2/20/2024,"Phase 1 dosing commenced, noted February 20, 2024.",73,3440.74975,78.5178,52.31,50.6,48.01,-0.033235981,-0.085778235,0.007326829,-0.099449359,9.55326,0.1657,39.89061
SPRY,7.52,Neffy (epinephrine nasal spray),Allergic reactions (type I) including anaphylaxisÂ ,Phase 3,2/20/2024,Phase 3 topline data showed that Repeated doses of neffy under nasal allergen challenge demonstrated a pharmacokinetic profile greater than or similar to injection and a pharmacodynamic profile greate,98,721.89934,131.4907,7.17,7.52,8.82,0.047660483,0.207116215,0.007326829,-0.099449359,5.06437,0.13708,9.60815
JNJ,156.58,TECVAYLI (teclistamab),Relapsed or refractory (R/R) multiple myeloma.Â ,Approved,2/20/2024,"Supplemental approval granted by the FDA, noted February 20, 2024.",,380247.9946,13.4128,156.55,157.86,160.98,0.008333117,0.027904686,0.007326829,-0.099449359,0.51073,0.12424,1499.94499
GSK,41.19,Cabenuva (cabotegravir + rilpivirine) - (LATITUDE),HIVÂ ,Phase 3,2/21/2024,"Phase 3 interim data reported that demonstrated superior efficacy in maintaining viral load suppression compared to daily oral therapy in individuals with a history of ART adherence challenges, noted",,67401.33076,18.0092,16.778,16.61,16.698,-0.010063581,-0.004779553,-0.01897875,-0.094443816,0,0.00379,83.18552
KZIA,0.32,Paxalisib (GDC-0084) with radiotherapy,Brain MetastasesÂ ,Phase 1,2/21/2024,"Phase 1 trial met its primary endpoint, noted February 21, 2024.",1,8.30651,110.1532,19.845,15.755,13,-0.230794311,-0.423002729,-0.01897875,-0.094443816,0.68934,0.0012,6.503
ENLV,3.22,Allocetra,SepsisÂ ,Phase 2,2/21/2024,"Phase 2 enrollment completed, noted February 21, 2024.",23,59.88735,103.9678,3.27,3.22,2.92,-0.015408625,-0.113206369,-0.01897875,-0.094443816,0.86318,0.02177,0.16829
NRSN,1.25,PrimeC - (PARADIGM),Amyotrophic Lateral Sclerosis (ALS)Â ,Phase 2b,2/21/2024,"Additional Phase 2b 6 month data reported a reduction of the risk of ALS disease complications or death by up to 53%, noted February 21, 2024.",23,17.08255,126.4737,1.37,1.25,1.8,-0.091667189,0.272975925,-0.01897875,-0.094443816,0.96673,0.05768,2.831
MNPR,1.12,MNPR-101-Zr (uPAR),Solid tumorsÂ ,Preclinical,2/22/2024,"Preclinical data to date demonstrated compelling and durable anti-tumor benefits with MNPR-101 conjugated to therapeutic radioisotopes, noted February 22, 2024.",6,16.65037,170.072,2.85,5.6,4.15,0.675447603,0.37578934,-0.024357576,-0.062359768,0.14477,0.0098,171.73254
ELEV,2.7,EO-3021 (SYSA1801) with ramucirumab + dostarlimab,Advanced Unresectable or Metastatic Solid Tumors Likely to Express Claudin 18.2Â ,Phase 1,2/22/2024,"Phase 1 first patient dosed in Japan, noted February 22, 2024.",59,0,0,0,0,0,#DIV/0!,#DIV/0!,-0.024357576,-0.062359768,0,0,0
TARS,31.54,TP-05 - (Carpo),Lyme diseaseÂ ,Phase 2a,2/22/2024,"Phase 2a data demonstrated a statistically significant benefit in killing ticks compared to placebo, noted February 22, 2024.",42,1044.11946,59.2184,30.13,31.54,38.22,0.045735228,0.237837586,-0.024357576,-0.062359768,16.40378,0.05627,26.20567
ATXI,10.67,BAER-101,Absence epilepsyÂ ,Preclinical,2/22/2024,"Preclinical data reported full suppression of seizure activity with a minimal effective dose (MED) of 0.3 mg/kg, noted February 22, 2024.",3,5.30482,169.2609,11.20503,10.66503,11.37753,-0.04939262,0.015277573,-0.024357576,-0.062359768,1.81549,0.00239,0.29389
PHVS,27.78,Deucrictibant (PHVS416) - (CHAPTER-3),Hereditary angioedema - prophylactic useÂ ,Phase 2,2/22/2024,Phase 2 data reported that deucrictibant significantly reduced the monthly attack rate by 84.5% (p=0.0008) in participants dosed at 40 mg/day and 79.3% (p=0.0009) in participants dosed at 20 mg/day co,54,1447.57899,75.6085,27.81,27.78,22.94,-0.001079331,-0.192513557,-0.024357576,-0.062359768,0.40739,0.14889,2.28979
ATNM,6.74,Iomab-B - (SIERRA),Acute myeloid leukemia (AML)Â ,Phase 3,2/22/2024,"Phase 3 data shared at ASTCT reported that a median overall survival of 5.49 months versus 1.66 months, noted February 22, 2023.",31,187.13093,73.9831,6.66,6.74,8.53,0.01194044,0.247469877,-0.024357576,-0.062359768,6.66452,0.08592,0.94735
GMDA,0.36,NAM-NK (GDA-201),Follicular and diffuse large B cell lymphomasÂ ,Phase 1/2,2/22/2024,"Phase 1/2 results presented at the Tandem Meetings, Transplantation & Cellular Therapy (TCT) Meetings reported that EAP data for omidubicel are consistent with Phase 3 trial results, noted February 2",154,47.55091,0,0,0,0,#DIV/0!,#DIV/0!,-0.024357576,-0.062359768,0,0,0
VTYX,5.77,Tamuzimod (VTX002),Ulcerative Colitis (UC)Â ,Phase 2,2/22/2024,"Phase 2 open-label extension data reported that both both doses of VTX002 achieved nominal statistical significance for all key secondary endpoints, noted February 22, 2024.",71,340.58539,256.6821,5.04,5.77,7.08,0.135265998,0.339867826,-0.024357576,-0.062359768,8.23299,0.0149,81.75496
REGN,981.2,Dupixent (dupilumab) - (NOTUS),Chronic obstructive pulmonary disease (COPD)Â ,PDUFA priority review,2/23/2024,"PDUFA Priority Review date June 27, 2024.",105,105441.6124,16.847,964.89,981.2,982.82,0.016762207,0.018411885,-0.033320749,-0.075465066,1.16344,0.13895,431.35613
BDRX,1.49,Tolimidone,Type 2 diabetesÂ ,Preclinical,2/23/2024,"Preclinical data reported inconclusive data, noted February 23, 2024.",,3.90306,167.2829,385,372.5,340,-0.033006296,-0.124297717,-0.033320749,-0.075465066,1.78874,0,6.15743
COGT,7.44,Bezuclastinib - (SUMMIT),Non-Advanced Systemic MastocytosisÂ ,Phase 1b,2/23/2024,"Additional Part 1b data from AAAAI reported that 51% week 12 mean change in Total Symptom Score (TSS), including 70% of patients achieving â‰¥50% reduction in TSS at week 12, noted February 23, 2024.",139,772.58631,147.5297,8.95,7.44,7.23,-0.184782683,-0.213414496,-0.033320749,-0.075465066,4.85228,0.01532,38.35931
CMND,1.88,CMND-100,Alcohol use disorder (AUD)Â ,Phase 1/2,2/23/2024,"Phase 1/2a approval to commence dosing, noted February 23, 2024.",5,5.95879,195.5379,1.86,1.88,1.59,0.010695289,-0.156842471,-0.033320749,-0.075465066,4.61801,0.00047,6.65083
BDRX,1.49,MTX110 - (PNOC015),Diffuse Midline Glioma (DMG)Â ,Phase 1,2/23/2024,"Phase 1 results reported that the median overall survival (OS) of patients in the study was 16.5 months, noted February 23, 2024.",,3.90306,167.2829,385,372.5,340,-0.033006296,-0.124297717,-0.033320749,-0.075465066,1.78874,0,6.15743
TEVA,12.89,SIMLANDI (adalimumab-ryvk) - (Humira biosimilar),Inflammatory diseasesÂ ,Approved,2/23/2024,"Approved February 23, 2024.",,14449.592,35.2847,13.05,12.89,13.5,-0.012336317,0.033901552,-0.033320749,-0.075465066,1.63397,0.03926,161.91235
