Ticker,Company,Price,Drug,Indication,Stage,Date,Catalyst,Shares
Add to portfolio,,,FTD,,,,,
GLSI,Greenwich LifeSciences Inc.,10.2,GP2 (GLSI-100) - (FLAMINGO-01),HER2 positive breast cancer ,Phase 3,14/02/2024 ET,"DSMB recommended to continue the study as is without modification. No serious adverse events related to GLSI-100 have been reported to date, noted February 14 2024.",13.63M
Add to portfolio,,,FTD,,,,,
,,,View Clinical Trial Data,,,,,
ARVN,Arvinas Inc.,49.37,Vepdegestrant (ARV-471) - (TACTIVE-U),Solid Tumors ,Phase 1b,14/02/2024 ET,"Phase 1b umbrella trial combination to be initiated in other arms, noted February 14, 2024.",73.42M
Add to portfolio,,,,,,,,
AZN,AstraZeneca PLC,60.73,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic Cancer ,Phase 1/2,14/02/2024 ET,"Phase 1b/2 dosing commenced on February 14, 2024.",3.1B
Add to portfolio,,,,,,,,
AIM,AIM ImmunoTech Inc.,0.41,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),Pancreatic Cancer ,Phase 1/2,14/02/2024 ET,"Phase 1b/2 dosing commenced on February 14, 2024.",2.71M
Add to portfolio,,,,,,,,
ATRA,Atara Biotherapeutics Inc.,19.26,ATA3219,"B-cell non-Hodgkin's lymphoma (NHL), Lupus Nephritis ",Preclinical,14/02/2024 ET,"IND submitted to the FDA, noted February 14, 2024.",7.02M
Add to portfolio,,,,,,,,
ANVS,Annovis Bio Inc.,10.37,Buntanetap (ANVS401),Alzheimer’s disease (AD) ,Phase 2/3,14/02/2024 ET,"Phase 2/3 last patient completed, noted February 14, 2024.",19.49M
Add to portfolio,,,ODD,,,,,
SILO,Silo Pharma Inc.,1.69,SP-26,Fibromyalgia / Chornic pain ,Preclinical,14/02/2024 ET,"The preclinical study demonstrated successful drug delivery, noted February 14, 2024.",9.4M
Add to portfolio,,,,,,,,
INKT,MiNK Therapeutics Inc.,1,"Botensilimab plus balstilimab, agenT-797",Gastric cancer ,Phase 2,14/02/2024 ET,"Phase 2 trial initiated, noted February 14, 2024.",4.52M
Add to portfolio,,,,,,,,
AMPE,Ampio Pharmaceuticals Inc.,1.82,OA-201,Osteoarthritis ,Preclinical,14/02/2024 ET,Preclinical efficacy results from recently completed pre-IND enabling studies with OA-201 reported that the efficacy results of these studies do not support an Investigational New Drug (IND) submissio … read more,1.14M
Add to portfolio,,,,,,,,
MESO,Mesoblast Limited,1.93,Revascor (Rexlemestrocel-L) - (DREAM-HF),Heart failure ,Phase 3,14/02/2024 ET,"Orphan drug designation was granted on February 14, 2024.",128.12M
Add to portfolio,,,RMAT,,,,,
,,,RPDD,,,,,
,,,ODD,,,,,
,,,View Clinical Trial Data,,,,,
RPTX,Repare Therapeutics Inc.,6.95,RP-1664 - (LIONS),Adult and adolescent with TRIM37-high tumor cells to treat Solid Tumors ,Phase 1,15/02/2024 ET,"Phase 1 dosing initiated, noted February 15, 2024.",42.96M
Add to portfolio,,,,,,,,
APLT,Applied Therapeutics Inc.,3.75,govorestat (AT-007) - (INSPIRE),Sorbitol Dehydrogenase Deficiency (SORD Deficiency) ,Phase 3,15/02/2024 ET,"Phase 3 study met the interim primary endpoint, noted February 15, 2024.",144.01M
Add to portfolio,,,ODD,,,,,
IONS,Ionis Pharmaceuticals Inc.,45.28,TRYNGOLZA (olezarsen),Familial Chylomicronemia Syndrome (FCS) ,Phase 3,15/02/2024 ET,"Orphan Drug Designation granted by the FDA, noted February 15, 2024.",159.39M
Add to portfolio,,,ODD,,,,,
,,,View Clinical Trial Data,,,,,
CRDL,Cardiol Therapeutics Inc.,1.48,CardiolRx - (MAvERIC-Pilot),Recurrent Pericarditis ,Phase 2,15/02/2024 ET,"FDA has granted Orphan Drug Designation (ODD), noted February 15, 2024.",83.73M
Add to portfolio,,,ODD,,,,,
ONCY,Oncolytics Biotech Inc.,1.16,Pelareorep and mFOLFIRINOX with and without atezolizumab - (GOBLET),Colorectal and advanced anal cancers ,Phase 1,15/02/2024 ET,"Phase 1 Stage 1 data showed a near tripling of Objective Response Rate compared to checkpoint inhibitor monotherapy, including a Complete Response, and supports expansion, additionally an enrollment e … read more",100.36M
Add to portfolio,,,,,,,,
MNKD,MannKind Corporation,3.71,Afrezza (Technosphere Insulin) - (INHALE-1),Pediatric type 1/2 diabetes ,Phase 3,15/02/2024 ET,"Phase 3 enrollment goal reached, noted February 15, 2024.",306.83M
Add to portfolio,,,View Clinical Trial Data,,,,,
AUPH,Aurinia Pharmaceuticals Inc,6.02,Aritinercept (AUR200),BAFF/APRIL (B-Cell Activating Factor) ,Phase 1,15/02/2024 ET,"Phase 1 was discontinued due to resource allocation, noted February 15, 2024.",135.1M
Add to portfolio,,,,,,,,
AUPH,Aurinia Pharmaceuticals Inc,6.02,AUR300,M2 Macrophage ,IND-Enabling,15/02/2024 ET,"The trial was discontinued due to resource allocation, noted on February 15, 2024.",135.1M
Add to portfolio,,,,,,,,
ENSC,Ensysce Biosciences Inc.,0.89,PF614-102,Severe pain ,Phase 3,15/02/2024 ET,"Phase 3 additional results from the two-part PF614‑102 study are very significant as we believe they demonstrate a clear dose relationship between PF614 and oxycodone, which is the foundation for the … read more",2.97M
Add to portfolio,,,,,,,,
FBIO,Fortress Biotech Inc.,1.86,Triplex - (COLT),Cytomegalovirus (CMV) ,Phase 1,16/02/2024 ET,Phase 1 data results demonstrated the potential benefit of vaccinating donors with dose to enhance CMV protective immunity and reduce CMV events in recipients of allogeneic hematopoietic cell transpla … read more,29.75M
Add to portfolio,,,,,,,,
CASI,CASI Pharmaceuticals Inc.,5.8,FOLOTYN (Pralatrexate Injection) - (PROPEL),Peripheral T-cell lymphoma ,Phase 1,16/02/2024 ET,"Phase 1 dosing initiated in China, noted February 16, 2024.",15.49M
Add to portfolio,,,,,,,,
RHHBY,Roche Holding AG ADR,31.01,XOLAIR (omalizumab) - (OUtMATCH),Food allergy ,Approved,16/02/2024 ET,"FDA Approved on February 16, 2024.",6.36B
Add to portfolio,,,,,,,,
IOVA,Iovance Biotherapeutics Inc.,9.15,AMTAGVI (Lifileucel (LN-144)) - (TILVANCE-301),Refractory metastatic melanoma ,Approved,16/02/2024 ET,"FDA Approved on February 16, 2024.",361.85M
Add to portfolio,,,,,,,,
AZN,AstraZeneca PLC,63.3,TAGRISSO (Osimertinib) - (FLAURA2),Non-small cell lung cancer (NSCLC) ,Approved,17/02/2024 ET,"Approved February 17, 2024.",3.1B
Add to portfolio,,,View Clinical Trial Data,,,,,
AZN,AstraZeneca PLC,64.06,TAGRISSO (osimertinib) - (LAURA),"Unresectable, Stage III epidermal growth factor receptor-mutated (EGFRm) non-small cell lung cancer (NSCLC) ",Phase 3,19/02/2024 ET,"Phase 3 data reported that the trial showed statistically significant and highly clinically meaningful improvement in progression-free survival (PFS), noted February 19, 2024.",3.1B
Add to portfolio,,,BTD,,,,,
RAPT,RAPT Therapeutics Inc.,6.87,Zelnecirnon (RPT193),Asthma ,Phase 2a,20/02/2024 ET,"Phase 2a trial initiated March 29, 2023. Phase 2a trial placed on clinical hold February 20, 2024.",16.54M
Add to portfolio,,,,,,,,
RAPT,RAPT Therapeutics Inc.,6.87,Zelnecirnon (RPT193),Atopic dermatitis ,Phase 2a,20/02/2024 ET,"Phase 2b trial initiated May 23, 2022. Phase 2b trial placed on hold February 20, 2024.",16.54M
Add to portfolio,,,,,,,,
IMRX,Immuneering Corporation,6.76,Atebimetinib (IMM-1-104) + mGnP,"Solid tumors, pancreatic cancer, melanoma ",Phase 1,20/02/2024 ET,"Fast Track Designation granted by the FDA on February 20, 2024.",36.32M
Add to portfolio,,,FTD,,,,,
,,,ODD,,,,,
IRON,Disc Medicine Inc.,66.42,DISC-0974,Patients with non-dialysis dependent chronic kidney disease (NDD-CKD) and anemia ,Phase 1/2,20/02/2024 ET,"Phase 1b/2 ongoing. FDA granted Fast Track designation, noted February 20, 2024.",34.77M
Add to portfolio,,,FTD,,,,,
SNY,Sanofi,44.97,Duvakitug (TEV-'574/SAR447189) - (RELIEVE UCCD),Moderate-to-severe inflammatory bowel disease (IBD); this includes ulcerative colitis (UC) and Crohn's disease (CD) ,Phase 2b,20/02/2024 ET,"PK data reported rapid and sustained suppression of free TL1A, noted February 20, 2024.",2.46B
Add to portfolio,,,,,,,,
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,13.07,Duvakitug (TEV-'574/SAR447189) - (RELIEVE UCCD),Moderate-to-severe inflammatory bowel disease (IBD); this includes ulcerative colitis (UC) and Crohn's disease (CD) ,Phase 2b,20/02/2024 ET,"PK data reported rapid and sustained suppression of free TL1A, noted February 20, 2024.",1.15B
Add to portfolio,,,,,,,,
ARVN,Arvinas Inc.,50.6,ARV-102,Parkinson's Disease in Healthy Volunteers ,Phase 1,20/02/2024 ET,"Phase 1 dosing commenced, noted February 20, 2024.",73.42M
Add to portfolio,,,,,,,,
SPRY,ARS Pharmaceuticals Inc.,7.52,Neffy (epinephrine nasal spray),Allergic reactions (type I) including anaphylaxis ,Phase 3,20/02/2024 ET,Phase 3 topline data showed that Repeated doses of neffy under nasal allergen challenge demonstrated a pharmacokinetic profile greater than or similar to injection and a pharmacodynamic profile greate … read more,98.83M
Add to portfolio,,,,,,,,
JNJ,Johnson & Johnson,156.58,TECVAYLI (teclistamab),Relapsed or refractory (R/R) multiple myeloma. ,Approved,20/02/2024 ET,"Supplemental approval granted by the FDA, noted February 20, 2024.",2.41B
Add to portfolio,,,,,,,,
GSK,GSK plc American Depositary Shares (Each representing two),41.19,Cabenuva (cabotegravir + rilpivirine) - (LATITUDE),HIV ,Phase 3,21/02/2024 ET,"Phase 3 interim data reported that demonstrated superior efficacy in maintaining viral load suppression compared to daily oral therapy in individuals with a history of ART adherence challenges, noted … read more",2.03B
Add to portfolio,,,,,,,,
KZIA,Kazia Therapeutics Limited,0.32,Paxalisib (GDC-0084) with radiotherapy,Brain Metastases ,Phase 1,21/02/2024 ET,"Phase 1 trial met its primary endpoint, noted February 21, 2024.",1.36M
Add to portfolio,,,FTD,,,,,
ENLV,Enlivex Therapeutics Ltd.,3.22,Allocetra,Sepsis ,Phase 2,21/02/2024 ET,"Phase 2 enrollment completed, noted February 21, 2024.",23.85M
Add to portfolio,,,View Clinical Trial Data,,,,,
NRSN,NeuroSense Therapeutics Ltd.,1.25,PrimeC - (PARADIGM),Amyotrophic Lateral Sclerosis (ALS) ,Phase 2b,21/02/2024 ET,"Additional Phase 2b 6 month data reported a reduction of the risk of ALS disease complications or death by up to 53%, noted February 21, 2024.",23.99M
Add to portfolio,,,,,,,,
MNPR,Monopar Therapeutics Inc.,1.12,MNPR-101-Zr (uPAR),Solid tumors ,Preclinical,22/02/2024 ET,"Preclinical data to date demonstrated compelling and durable anti-tumor benefits with MNPR-101 conjugated to therapeutic radioisotopes, noted February 22, 2024.",6.17M
Add to portfolio,,,,,,,,
ELEV,Elevation Oncology Inc.,2.7,EO-3021 (SYSA1801) with ramucirumab + dostarlimab,Advanced Unresectable or Metastatic Solid Tumors Likely to Express Claudin 18.2 ,Phase 1,22/02/2024 ET,"Phase 1 first patient dosed in Japan, noted February 22, 2024.",59.22M
Add to portfolio,,,FTD,,,,,
TARS,Tarsus Pharmaceuticals Inc.,31.54,TP-05 - (Carpo),Lyme disease ,Phase 2a,22/02/2024 ET,"Phase 2a data demonstrated a statistically significant benefit in killing ticks compared to placebo, noted February 22, 2024.",42.21M
Add to portfolio,,,,,,,,
ATXI,Avenue Therapeutics Inc.,10.67,BAER-101,Absence epilepsy ,Preclinical,22/02/2024 ET,"Preclinical data reported full suppression of seizure activity with a minimal effective dose (MED) of 0.3 mg/kg, noted February 22, 2024.",3.18M
Add to portfolio,,,,,,,,
PHVS,Pharvaris N.V.,27.78,Deucrictibant (PHVS416) - (CHAPTER-3),Hereditary angioedema - prophylactic use ,Phase 2,22/02/2024 ET,Phase 2 data reported that deucrictibant significantly reduced the monthly attack rate by 84.5% (p=0.0008) in participants dosed at 40 mg/day and 79.3% (p=0.0009) in participants dosed at 20 mg/day co … read more,54.49M
Add to portfolio,,,,,,,,
ATNM,Actinium Pharmaceuticals Inc.,6.74,Iomab-B - (SIERRA),Acute myeloid leukemia (AML) ,Phase 3,22/02/2024 ET,"Phase 3 data shared at ASTCT reported that a median overall survival of 5.49 months versus 1.66 months, noted February 22, 2023.",31.2M
Add to portfolio,,,View Clinical Trial Data,,,,,
GMDA,Gamida Cell Ltd.,0.36,NAM-NK (GDA-201),Follicular and diffuse large B cell lymphomas ,Phase 1/2,22/02/2024 ET,"Phase 1/2 results presented at the Tandem Meetings, Transplantation & Cellular Therapy (TCT) Meetings reported that EAP data for omidubicel are consistent with Phase 3 trial results, noted February 2 … read more",154.05M
Add to portfolio,,,,,,,,
VTYX,Ventyx Biosciences Inc.,5.77,Tamuzimod (VTX002),Ulcerative Colitis (UC) ,Phase 2,22/02/2024 ET,"Phase 2 open-label extension data reported that both both doses of VTX002 achieved nominal statistical significance for all key secondary endpoints, noted February 22, 2024.",71.31M
Add to portfolio,,,,,,,,
REGN,Regeneron Pharmaceuticals Inc.,981.2,Dupixent (dupilumab) - (NOTUS),Chronic obstructive pulmonary disease (COPD) ,PDUFA priority review,23/02/2024 ET,"PDUFA Priority Review date June 27, 2024.",105.99M
Add to portfolio,,,,,,,,
BDRX,Biodexa Pharmaceuticals plc,1.49,Tolimidone,Type 2 diabetes ,Preclinical,23/02/2024 ET,"Preclinical data reported inconclusive data, noted February 23, 2024.",505.06K
Add to portfolio,,,,,,,,
COGT,Cogent Biosciences Inc.,7.44,Bezuclastinib - (SUMMIT),Non-Advanced Systemic Mastocytosis ,Phase 1b,23/02/2024 ET,"Additional Part 1b data from AAAAI reported that 51% week 12 mean change in Total Symptom Score (TSS), including 70% of patients achieving ≥50% reduction in TSS at week 12, noted February 23, 2024.",139.7M
Add to portfolio,,,View Clinical Trial Data,,,,,
CMND,Clearmind Medicine Inc.,1.88,CMND-100,Alcohol use disorder (AUD) ,Phase 1/2,23/02/2024 ET,"Phase 1/2a approval to commence dosing, noted February 23, 2024.",5.38M
Add to portfolio,,,,,,,,
BDRX,Biodexa Pharmaceuticals plc,1.49,MTX110 - (PNOC015),Diffuse Midline Glioma (DMG) ,Phase 1,23/02/2024 ET,"Phase 1 results reported that the median overall survival (OS) of patients in the study was 16.5 months, noted February 23, 2024.",505.06K
Add to portfolio,,,,,,,,
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,12.89,SIMLANDI (adalimumab-ryvk) - (Humira biosimilar),Inflammatory diseases ,Approved,23/02/2024 ET,"Approved February 23, 2024.",1.15B
Add to portfolio,,,,,,,,
ALVO,Alvotech,16.03,SIMLANDI (adalimumab-ryvk) - (Humira biosimilar),Inflammatory diseases ,Approved,23/02/2024 ET,"Approved February 23, 2024.",301.81M
Add to portfolio,,,,,,,,
CLDX,Celldex Therapeutics Inc.,37.75,Barzolvolimab (CDX-0159),Chronic spontaneous urticaria (CSU) ,Phase 2,24/02/2024 ET,"Phase 2 data presented at AAAAI reported that treatment demonstrated strong improvement in UAS7 independent of omalizumab status at Week 12, noted February 24, 2024.",66.41M
Add to portfolio,,,,,,,,
KALV,KalVista Pharmaceuticals Inc.,13.69,EKTERLY (sebetralstat),Hereditary Angioedema (HAE) ,Phase 3,25/02/2024 ET,"Phase 3 additional data presented at AAAAI reported that 94% of attacks required only one dose to achieve primary endpoint, noted February 25, 2024.",50.52M
Add to portfolio,,,View Clinical Trial Data,,,,,
GSK,GSK plc American Depositary Shares (Each representing two),41.99,Blujepa (Gepotidacin) - (EAGLE 2/3),Uncomplicated urinary tract infection (uUTI) ,Phase 3,26/02/2024 ET,"EAGLE-1 trial met its primary endpoint, noted February 26, 2024.",2.03B
Add to portfolio,,,View Clinical Trial Data,,,,,
ALLK,Allakos Inc.,1.46,AK006,Prurigo nodularis ,Preclinical,26/02/2024 ET,"Preclinical data presented at AAAAI showed evidence of MRGPRX2 mast cell activation and activated macrophages on skin lesions, noted February 26, 2024.",90.38M
Add to portfolio,,,,,,,,
KRYS,Krystal Biotech Inc.,157,KB407 - (CORAL-1),Cystic Fibrosis ,Phase 1,26/02/2024 ET,"Phase 1 data reported that no severe or serious adverse events were observed in patients treated in Cohort 1, noted February 26, 2024.",28.94M
Add to portfolio,,,,,,,,
TNYA,Tenaya Therapeutics Inc.,5.69,TN-301,Heart Failure with Preserved Ejection Fraction ,Preclinical,26/02/2024 ET,"Preclinical data reported that treatment achieved comparable or superior efficacy and was shown to have a distinctive multi-modal mechanism of action versus empagliflozin, noted February 26, 2024.",162.98M
Add to portfolio,,,,,,,,
BGNE,BeiGene Ltd.,160.26,BRUKINSA (zanubrutinib) + Obinutuzumab - (ROSEWOOD),Follicular Non-Hodgkin Lymphoma ,Approved,26/02/2024 ET,"Approval noted February 26, 2024.",106.62M
Add to portfolio,,,,,,,,
ONC,BeOne Medicines Ltd.,—,BRUKINSA (zanubrutinib) + Obinutuzumab - (ROSEWOOD),Follicular Non-Hodgkin Lymphoma ,Approved,26/02/2024 ET,"Approval noted February 26, 2024.",110.03M
Add to portfolio,,,,,,,,
TCRX,TScan Therapeutics Inc.,6.79,"TSC-100, TSC-101 - (ALLOHA)",Hematologic malignancies ,Phase 1,26/02/2024 ET,"Phase 1 presented at Tandem Meetings showed that all eight (100%) treatment-arm patients are relapse-free and have achieved and maintained complete donor chimerism following treatment, noted February … read more",56.75M
Add to portfolio,,,RMAT,,,,,
MTNB,Matinas Biopharma Holdings Inc.,0.27,Oral amphotericin b (MAT2203) - (EnACT),Cryptococcal meningitis ,Phase 3,26/02/2024 ET,"Phase 3 update from ongoing Compassionate/Expanded use access of the 19 patients enrolled in the program, 15 have available follow-up and 4 recently initiated or will soon commence treatment with MAT2 … read more",5.09M
Add to portfolio,,,,,,,,
JANX,Janux Therapeutics Inc.,15.1,PSMA-TRACTr (JANX007) - (ENGAGER-PSMA-01),Metastatic castration-resistant prostate cancer (mCPRC) ,Phase 1,26/02/2024 ET,"Phase 1 updated clinical data at KOL illustrated a potential best-in-class profile: promising efficacy with favorable safety profile in heavily pretreated subjects with late-stage mCRPC, noted Februar … read more",60.09M
Add to portfolio,,,,,,,,
JANX,Janux Therapeutics Inc.,15.1,EGFR-TRACTr (JANX008),"Metastatic colorectal cancer (mCRC), squamous cell carcinoma of the head and neck (SCCHN) and non-small cell lung cancer (NSCLC) ",Phase 1,26/02/2024 ET,"Phase 1 data at KOL display differentiated safety and encouraging signs of efficacy in heavily pretreated subjects with different solid tumor types, noted February 26, 2024.",60.09M
Add to portfolio,,,,,,,,
GILD,Gilead Sciences Inc.,71.36,Biktarvy,HIV ,Approved,26/02/2024 ET,"Approved for expanded indication to treat people with HIV (PWH) who have suppressed viral loads with known or suspected M184V/I resistance, noted February 26, 2024.",1.24B
Add to portfolio,,,,,,,,
NERV,Minerva Neurosciences Inc,2.8,Roluperidone (MIN-101),Schizophrenia ,CRL,27/02/2024 ET,"CRL issued by the FDA, noted February 27, 2024.",6.99M
Add to portfolio,,,,,,,,
VKTX,Viking Therapeutics Inc.,85.05,VK2735 - (VENTURE),Obesity ,Phase 2,27/02/2024 ET,"Phase 2 study met primary and all secondary endpoints, demonstrating reductions in body weight, noted February 27, 2024.",113.04M
Add to portfolio,,,,,,,,
TARS,Tarsus Pharmaceuticals Inc.,39.22,TP-04 - (Galatea),Rosacea ,Phase 2a,27/02/2024 ET,Phase 2a topline data reported statistically significant improvements (p<0.05) in inflammatory lesions and Investigator's Global Assessment (IGA) score compared to vehicle at Week 12 TP-04 was genera … read more,42.21M
Add to portfolio,,,,,,,,
ACXP,Acurx Pharmaceuticals Inc.,3.13,Ibezapolstat,C. difficile Infection ,Phase 2b,27/02/2024 ET,"Phase 2b FDA confirmed that trial adequate information was submitted for EoP2 meeting, noted February 27, 2024.",1.58M
Add to portfolio,,,FTD,,,,,
,,,View Clinical Trial Data,,,,,
CGON,"CG Oncology, Inc.",46.35,cretostimogene - (PIVOT-006) (EAP),Non-Muscle Invasive Bladder Cancer (NMIBC) ,Phase 3,27/02/2024 ET,"Phase 3 dosing initiated, noted February 27, 2024.",76.25M
Add to portfolio,,,,,,,,
PPBT,Purple Biotech Ltd.,0.67,NT219 in combination with cetuximab,Recurrent/metastatic squamous cell carcinoma of the head and neck (R/M SCCHN) ,Phase 1,27/02/2024 ET,"Phase 2 was well tolerated with anti-tumor activity at relevant higher dose levels observed with 29% Objective Response Rate (ORR) and 71% Disease Control Rate (DCR), noted February 27, 2024.",2.65M
Add to portfolio,,,,,,,,
GANX,Gain Therapeutics Inc.,4.63,"GT-02287, GT-02329",GBA1 and Idiopathic Parkinson's Disease ,Phase 1,27/02/2024 ET,"Phase 1 dosing initiated, noted February 27, 2024.",35.95M
Add to portfolio,,,,,,,,
PTN,Palatin Technologies Inc.,2.45,PL9643 - (MELODY-1),Dry eye disease (DED) ,Phase 3,28/02/2024 ET,"Phase 3 final results reported met the first co-primary endpoint in the Intent-to-Treat Analysis, however did not meet the co-primary endpoint showing superiority over vehicle, noted February 28, 2024. read less",46.48M
Add to portfolio,,,View Clinical Trial Data,,,,,
IXHL,Incannex Healthcare Inc.,6.27,PSX-001 (Psilocybin treatment) - (PsiGAD2),Generalized anxiety disorder (GAD) ,Phase 2,28/02/2024 ET,"Phase 2 topline data reported that the trial met its primary endpoint, noted February 28, 2024.",347.71M
Add to portfolio,,,,,,,,
CMPX,Compass Therapeutics Inc.,1.74,CTX-8371,Solid Tumors ,Preclinical,28/02/2024 ET,"Preclinical data reported that CTX-8371 demonstrates enhanced anti-tumor activity relative to approved anti-PD-1 blockers and anti-PD-L1 blockers in a series of in vitro and in vivo experimental settings, noted February 28, 2024. read less",138.28M
Add to portfolio,,,,,,,,
SILO,Silo Pharma Inc.,1.62,SPC-15,Post-traumatic stress disorder (PTSD) ,Preclinical,28/02/2024 ET,"Preclinical data reported rapid absorption of SPC-15 with good exposure over a 24-hour period, suggesting a once-per-day human intranasal dosing regimen would be optimal, noted February 28, 2024.",9.4M
Add to portfolio,,,,,,,,
HCM,HUTCHMED (China) Limited,15.21,Amdizalisib (HMPL-689),Follicular Lymphoma and Marginal Zone Lymphoma ,Phase 2,28/02/2024 ET,"Phase 2 topline FL results reported that the trial met its primary endpoint, noted February 28, 2024.",174.43M
Add to portfolio,,,BTD,,,,,
,,,View Clinical Trial Data,,,,,
SNSE,Sensei Biotherapeutics Inc.,0.84,Solnerstotug (formerly SNS-101) with Libtayo - (VISTA),One microsatellite stable (MSS) endometrial cancer ,Phase 1,28/02/2024 ET,"Phase 1 initial safety data reported that in the monotherapy dose escalation arm, 13/16 patients (81%) experienced at least one treatment-emergent adverse event (TEAE), with the majority of adverse events (AEs) Grade 1 or 2. In the combination dose escalation arm, 10/17 patients (59%) experienced at least one TEAE, with the majority of AEs Grade 1 or 2, noted February 28, 2024. read less",1.26M
Add to portfolio,,,,,,,,
REGN,Regeneron Pharmaceuticals Inc.,987.61,Solnerstotug (formerly SNS-101) with Libtayo - (VISTA),One microsatellite stable (MSS) endometrial cancer ,Phase 1,28/02/2024 ET,"Phase 1 initial safety data reported that in the monotherapy dose escalation arm, 13/16 patients (81%) experienced at least one treatment-emergent adverse event (TEAE), with the majority of adverse events (AEs) Grade 1 or 2. In the combination dose escalation arm, 10/17 patients (59%) experienced at least one TEAE, with the majority of AEs Grade 1 or 2, noted February 28, 2024. read less",105.99M
Add to portfolio,,,,,,,,
VANI,Vivani Medical Inc.,3.74,NPM-115 (exenatide implant) - (LIBERATE-1),Subdermal implants in development for chronic weight management ,Preclinical,28/02/2024 ET,"Preclinical data showed that implant generated significant weight loss comparable to injectable semaglutide (Ozempic/Wegovy) from a single administration with expected twice-yearly dosing, noted February 28, 2024. read less",59.24M
Add to portfolio,,,,,,,,
AVIR,Atea Pharmaceuticals Inc.,4.37,Bemnifosbuvir and ruzasvir (RZR) - (C-FORWARD),Hepatitis C Virus (HCV) ,Phase 2,28/02/2024 ET,"Phase 2 final data from the 60-patient lead-in cohort reported that the SVR4 rate exceeded the protocol-defined efficacy criterion of ≥90% SVR4 for continuing the study, noted February 28, 2024.",79.36M
Add to portfolio,,,,,,,,
BLRX,BioLineRx Ltd.,1.32,"Motixafortide (BL-8040), gemcitabine, nab-paclitaxel and LIBTAYO (cemiplimab) - (Columbia University trial) - (CheMo4METPANC)",First-line pancreatic ductal adenocarcinoma (PDAC) ,Phase 2,28/02/2024 ET,"Phase 2 trial initiated, noted February 28, 2024.",3.72M
Add to portfolio,,,View Clinical Trial Data,,,,,
KANT,Kineta Inc.,—,KVA12123 with KEYTRUDA (pembrolizumab) - (VISTA-101),Solid tumors ,Phase 1/2,29/02/2024 ET,"Phase 1/2 initial data reported a partial Response in 1 patient with a PD-L1 negative mucoepidermoid carcinoma and a 54% reduction in target lesions and a complete response in non-target lesions, noted March 12, 2024. Phase 1/2 new enrollment terminated, noted February 29, 2024. read less",13.54M
Add to portfolio,,,,,,,,
IMUX,Immunic Inc.,1.47,IMU-838 - (CALLIPER),Progressive Multiple Sclerosis ,Phase 2,29/02/2024 ET,"Phase 2 interim data presented at ACTRIMS reported that serum NfL was decreased in the treatment group by 22.4%, noted February 29, 2024.",98.65M
Add to portfolio,,,View Clinical Trial Data,,,,,
IMUX,Immunic Inc.,1.47,IMU-838 - (CALVID-1),COVID-19 ,Phase 2,29/02/2024 ET,"Additional Phase 2 data reported that 80% of patients who received placebo reported fatigue, compared to 50% who received 45 mg vidofludimus calcium, noted February 29, 2024.",98.65M
Add to portfolio,,,View Clinical Trial Data,,,,,
IRWD,Ironwood Pharmaceuticals Inc.,9.43,Apraglutide - (STARS),Short Bowel Syndrome with Intestinal Failure (SBS-IF) ,Phase 3,29/02/2024 ET,"Phase 3 top-line data reported that the trial met its primary endpoint, however two key secondary endpoints were specific to colon-in-continuity patients in assessing at least one day/week off PS versus baseline and reaching enteral autonomy at week 48, both of which were not achieved, noted February 29, 2024. read less",162.43M
Add to portfolio,,,View Clinical Trial Data,,,,,
CLNN,Clene Inc.,8.05,CNM-Au8 - (VISIONARY-MS),Multiple Sclerosis ,Phase 2,29/02/2024 ET,"Phase 2 full clinical results presented at ACTRIMS Forum reported that treatment demonstrated significant improvement of vision as measured by low contrast letter acuity (LCLA) through 35 months from randomization, noted February 29, 2024. read less",9.99M
Add to portfolio,,,View Clinical Trial Data,,,,,
IMNN,Imunon Inc.,1.14,IMNN-101 - (IMUNON),SARS-CoV-2 variant XBB.1.5 ,Preclinical,29/02/2024 ET,"Challenge study data reported that a single dose produced IgG neutralizing antibody and T-cell responses, noted February 29, 2024.",2.52M
Add to portfolio,,,,,,,,
CUE,Cue Biopharma Inc.,2.08,CUE-101 and KEYTRUDA (pembrolizumab) - (KEYNOTE-A78),HPV16+ head and neck cancer ,Phase 1,29/02/2024 ET,"Phase 1 data reported from the Multi-disciplinary Head and Neck Cancers Symposium that overall response rate (ORR) of 47% in first line (1L) patients treated with CUE-101 and pembrolizumab, compared to the historical ORR of 19% reported in the KEYNOTE-48 trial, noted February 29, 2024. read less",76.85M
Add to portfolio,,,FTD,,,,,
CRDF,Cardiff Oncology Inc.,1.77,"Onvansertib, FOLFIRI and AVASTIN (bevacizumab) - (ONSEMBLE)",KRAS-Mutated Colorectal Cancer ,Phase 2,29/02/2024 ET,"Phase 2 data reported a 50% ORR rate in Bev Naive patients and 0% ORR in Bev Exposed patients, noted February 29, 2024.",66.53M
Add to portfolio,,,,,,,,
